Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2016
,,,,66.0,Credit card,2017
,,,,66.0,Credit card,2017
,,,,66.0,Credit card or prepaid card,2017
,,,,66.0,Credit card or prepaid card,2017
,,,,66.0,Credit card or prepaid card,2017
,,,,66.0,Credit card or prepaid card,2018
,,,,66.0,Credit card or prepaid card,2018
,,,,66.0,Credit card or prepaid card,2018
,,,,66.0,Credit card or prepaid card,2018
,,,,66.0,Credit card or prepaid card,2018
,,,,66.0,Credit card or prepaid card,2019
,,,,66.0,Credit card or prepaid card,2019
,,,,66.0,Credit reporting,2013
,,,,66.0,Credit reporting,2013
,,,,66.0,Credit reporting,2013
,,,,66.0,Credit reporting,2013
,,,,66.0,Credit reporting,2013
,,,,66.0,Credit reporting,2014
,,,,66.0,Credit reporting,2015
,,,,66.0,Credit reporting,2016
,,,,66.0,Credit reporting,2016
,,,,66.0,Credit reporting,2017
,,,,66.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,66.0,Debt collection,2013
,,,,66.0,Debt collection,2014
,,,,66.0,Debt collection,2015
,,,,66.0,Debt collection,2016
,,,,66.0,Debt collection,2019
,,,,66.0,Debt collection,2019
,,,,66.0,Debt collection,2019
,,,,66.0,Debt collection,2020
,,,,66.0,"Money transfer, virtual currency, or money service",2017
,,,,66.0,Mortgage,2012
,,,,66.0,Mortgage,2012
,,,,66.0,Mortgage,2014
,,,,66.0,Mortgage,2016
,,,,66.0,Mortgage,2018
,,,,66.0,Mortgage,2018
,,,,66.0,Mortgage,2019
,,,,66.0,Mortgage,2020
,,,,66.0,Student loan,2017
,,,,65.0,Bank account or service,2012
,,,,65.0,Bank account or service,2012
,,,,65.0,Bank account or service,2012
,,,,65.0,Bank account or service,2013
,,,,65.0,Bank account or service,2013
,,,,65.0,Bank account or service,2013
,,,,65.0,Bank account or service,2014
,,,,65.0,Bank account or service,2014
,,,,65.0,Bank account or service,2014
,,,,65.0,Bank account or service,2014
,,,,65.0,Bank account or service,2014
,,,,65.0,Bank account or service,2015
,,,,65.0,Bank account or service,2015
,,,,65.0,Bank account or service,2015
,,,,65.0,Bank account or service,2015
,,,,65.0,Bank account or service,2015
,,,,65.0,Bank account or service,2016
,,,,65.0,Bank account or service,2016
,,,,65.0,Bank account or service,2016
,,,,65.0,Bank account or service,2017
,,,,65.0,Bank account or service,2017
,,,,65.0,Bank account or service,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2017
,,,,65.0,Checking or savings account,2018
,,,,65.0,Checking or savings account,2018
,,,,65.0,Checking or savings account,2018
,,,,65.0,Checking or savings account,2018
,,,,65.0,Checking or savings account,2018
,,,,65.0,Checking or savings account,2018
,,,,65.0,Checking or savings account,2019
,,,,65.0,Checking or savings account,2019
,,,,65.0,Checking or savings account,2019
,,,,65.0,Checking or savings account,2020
,,,,65.0,Checking or savings account,2020
,,,,65.0,Checking or savings account,2020
,,,,65.0,Credit card,2012
,,,,65.0,Credit card,2012
,,,,65.0,Credit card,2012
,,,,65.0,Credit card,2012
,,,,65.0,Credit card,2013
,,,,65.0,Credit card,2014
,,,,65.0,Credit card,2014
,,,,65.0,Credit card,2014
,,,,65.0,Credit card,2014
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2015
,,,,65.0,Credit card,2016
,,,,65.0,Credit card,2016
,,,,65.0,Credit card,2016
,,,,65.0,Credit card,2017
,,,,65.0,Credit card or prepaid card,2017
,,,,65.0,Credit card or prepaid card,2018
,,,,65.0,Credit card or prepaid card,2018
,,,,65.0,Credit card or prepaid card,2018
,,,,65.0,Credit card or prepaid card,2018
,,,,65.0,Credit card or prepaid card,2019
,,,,65.0,Credit card or prepaid card,2019
,,,,65.0,Credit card or prepaid card,2019
,,,,65.0,Credit reporting,2013
,,,,65.0,Credit reporting,2013
,,,,65.0,Credit reporting,2013
,,,,65.0,Credit reporting,2013
,,,,65.0,Credit reporting,2013
,,,,65.0,Credit reporting,2014
,,,,65.0,Credit reporting,2014
,,,,65.0,Credit reporting,2015
,,,,65.0,Credit reporting,2016
,,,,65.0,Credit reporting,2016
,,,,65.0,Credit reporting,2016
,,,,65.0,Credit reporting,2017
,,,,65.0,Debt collection,2014
,,,,65.0,Debt collection,2017
,,,,65.0,Debt collection,2017
,,,,65.0,Debt collection,2019
,,,,65.0,Debt collection,2020
,,,,65.0,Mortgage,2013
,,,,65.0,Mortgage,2020
,,,,65.0,Mortgage,2020
,,,,65.0,Mortgage,2020
,,,,65.0,Student loan,2017
,,,,64.0,Bank account or service,2012
,,,,64.0,Bank account or service,2013
,,,,64.0,Bank account or service,2013
,,,,64.0,Bank account or service,2013
,,,,64.0,Bank account or service,2013
,,,,64.0,Bank account or service,2013
,,,,64.0,Bank account or service,2014
,,,,64.0,Bank account or service,2014
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2015
,,,,64.0,Bank account or service,2016
,,,,64.0,Bank account or service,2016
,,,,64.0,Bank account or service,2016
,,,,64.0,Bank account or service,2017
,,,,64.0,Checking or savings account,2017
,,,,64.0,Checking or savings account,2017
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2018
,,,,64.0,Checking or savings account,2019
,,,,64.0,Checking or savings account,2019
,,,,64.0,Checking or savings account,2019
,,,,64.0,Checking or savings account,2019
,,,,64.0,Checking or savings account,2019
,,,,64.0,Credit card,2012
,,,,64.0,Credit card,2012
,,,,64.0,Credit card,2014
,,,,64.0,Credit card,2015
,,,,64.0,Credit card,2015
,,,,64.0,Credit card,2015
,,,,64.0,Credit card,2015
,,,,64.0,Credit card,2015
,,,,64.0,Credit card,2015
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2016
,,,,64.0,Credit card,2017
,,,,64.0,Credit card,2017
,,,,64.0,Credit card or prepaid card,2017
,,,,64.0,Credit card or prepaid card,2017
,,,,64.0,Credit card or prepaid card,2017
,,,,64.0,Credit card or prepaid card,2017
,,,,64.0,Credit card or prepaid card,2018
,,,,64.0,Credit card or prepaid card,2018
,,,,64.0,Credit card or prepaid card,2018
,,,,64.0,Credit card or prepaid card,2018
,,,,64.0,Credit card or prepaid card,2018
,,,,64.0,Credit reporting,2013
,,,,64.0,Credit reporting,2013
,,,,64.0,Credit reporting,2013
,,,,64.0,Credit reporting,2013
,,,,64.0,Credit reporting,2014
,,,,64.0,Credit reporting,2014
,,,,64.0,Credit reporting,2014
,,,,64.0,Credit reporting,2015
,,,,64.0,Credit reporting,2016
,,,,64.0,Credit reporting,2016
,,,,64.0,Credit reporting,2016
,,,,64.0,Credit reporting,2017
,,,,64.0,Credit reporting,2017
,,,,64.0,Debt collection,2013
,,,,64.0,Debt collection,2014
,,,,64.0,Debt collection,2016
,,,,64.0,Debt collection,2017
,,,,64.0,Debt collection,2017
,,,,64.0,Debt collection,2017
,,,,64.0,Debt collection,2018
,,,,64.0,Debt collection,2018
,,,,64.0,Debt collection,2018
,,,,64.0,Debt collection,2019
,,,,64.0,Debt collection,2019
,,,,64.0,Debt collection,2019
,,,,64.0,Debt collection,2019
,,,,64.0,Debt collection,2020
,,,,64.0,Mortgage,2014
,,,,64.0,Mortgage,2015
,,,,64.0,Mortgage,2018
,,,,64.0,Mortgage,2018
,,,,64.0,Mortgage,2019
,,,,64.0,Mortgage,2019
,,,,64.0,Mortgage,2019
,,,,64.0,Mortgage,2019
,,,,64.0,Mortgage,2019
,,,,64.0,Mortgage,2019
,,,,64.0,Mortgage,2020
,,,,64.0,Student loan,2017
,,,,64.0,Student loan,2017
,,,,63.0,Bank account or service,2012
,,,,63.0,Bank account or service,2012
,,,,63.0,Bank account or service,2012
,,,,63.0,Bank account or service,2012
,,,,63.0,Bank account or service,2013
,,,,63.0,Bank account or service,2013
,,,,63.0,Bank account or service,2014
,,,,63.0,Bank account or service,2014
,,,,63.0,Bank account or service,2014
,,,,63.0,Bank account or service,2014
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2015
,,,,63.0,Bank account or service,2016
,,,,63.0,Bank account or service,2016
,,,,63.0,Bank account or service,2017
,,,,63.0,Checking or savings account,2017
,,,,63.0,Checking or savings account,2017
,,,,63.0,Checking or savings account,2017
,,,,63.0,Checking or savings account,2018
,,,,63.0,Checking or savings account,2018
,,,,63.0,Checking or savings account,2018
,,,,63.0,Checking or savings account,2018
,,,,63.0,Checking or savings account,2018
,,,,63.0,Checking or savings account,2019
,,,,63.0,Checking or savings account,2019
,,,,63.0,Checking or savings account,2020
,,,,63.0,Credit card,2012
,,,,63.0,Credit card,2012
,,,,63.0,Credit card,2012
,,,,63.0,Credit card,2012
,,,,63.0,Credit card,2012
,,,,63.0,Credit card,2014
,,,,63.0,Credit card,2014
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2015
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2016
,,,,63.0,Credit card,2017
,,,,63.0,Credit card,2017
,,,,63.0,Credit card or prepaid card,2017
,,,,63.0,Credit card or prepaid card,2017
,,,,63.0,Credit card or prepaid card,2018
,,,,63.0,Credit card or prepaid card,2018
,,,,63.0,Credit card or prepaid card,2019
,,,,63.0,Credit card or prepaid card,2019
,,,,63.0,Credit card or prepaid card,2019
,,,,63.0,Credit reporting,2013
,,,,63.0,Credit reporting,2013
,,,,63.0,Credit reporting,2013
,,,,63.0,Credit reporting,2013
,,,,63.0,Credit reporting,2013
,,,,63.0,Credit reporting,2013
,,,,63.0,Credit reporting,2014
,,,,63.0,Credit reporting,2015
,,,,63.0,Credit reporting,2016
,,,,63.0,Credit reporting,2016
,,,,63.0,Credit reporting,2016
,,,,63.0,Credit reporting,2017
,,,,63.0,Debt collection,2013
,,,,63.0,Debt collection,2015
,,,,63.0,Debt collection,2015
,,,,63.0,Debt collection,2016
,,,,63.0,Debt collection,2017
,,,,63.0,Debt collection,2017
,,,,63.0,Debt collection,2017
,,,,63.0,Debt collection,2017
,,,,63.0,Debt collection,2018
,,,,63.0,Debt collection,2018
,,,,63.0,Debt collection,2018
,,,,63.0,Debt collection,2019
,,,,63.0,Debt collection,2019
,,,,63.0,Mortgage,2015
,,,,63.0,Mortgage,2017
,,,,63.0,Mortgage,2018
,,,,63.0,Mortgage,2018
,,,,63.0,Mortgage,2019
,,,,63.0,Mortgage,2019
,,,,63.0,Mortgage,2019
,,,,63.0,Mortgage,2019
,,,,63.0,Mortgage,2020
,,,,63.0,Mortgage,2020
,,,,63.0,Student loan,2017
,,,,63.0,Student loan,2017
,,,,62.0,Bank account or service,2012
,,,,62.0,Bank account or service,2012
,,,,62.0,Bank account or service,2012
,,,,62.0,Bank account or service,2012
,,,,62.0,Bank account or service,2012
,,,,62.0,Bank account or service,2013
,,,,62.0,Bank account or service,2013
,,,,62.0,Bank account or service,2013
,,,,62.0,Bank account or service,2013
,,,,62.0,Bank account or service,2013
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2014
,,,,62.0,Bank account or service,2015
,,,,62.0,Bank account or service,2015
,,,,62.0,Bank account or service,2015
,,,,62.0,Bank account or service,2015
,,,,62.0,Bank account or service,2016
,,,,62.0,Bank account or service,2016
,,,,62.0,Bank account or service,2016
,,,,62.0,Checking or savings account,2017
,,,,62.0,Checking or savings account,2017
,,,,62.0,Checking or savings account,2017
,,,,62.0,Checking or savings account,2017
,,,,62.0,Checking or savings account,2017
,,,,62.0,Checking or savings account,2017
,,,,62.0,Checking or savings account,2017
,,,,62.0,Checking or savings account,2019
,,,,62.0,Checking or savings account,2019
,,,,62.0,Checking or savings account,2020
,,,,62.0,Credit card,2012
,,,,62.0,Credit card,2013
,,,,62.0,Credit card,2013
,,,,62.0,Credit card,2014
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2015
,,,,62.0,Credit card,2016
,,,,62.0,Credit card,2016
,,,,62.0,Credit card,2016
,,,,62.0,Credit card,2016
,,,,62.0,Credit card,2016
,,,,62.0,Credit card,2016
,,,,62.0,Credit card,2017
,,,,62.0,Credit card or prepaid card,2017
,,,,62.0,Credit card or prepaid card,2017
,,,,62.0,Credit card or prepaid card,2019
,,,,62.0,Credit card or prepaid card,2020
,,,,62.0,Credit reporting,2013
,,,,62.0,Credit reporting,2013
,,,,62.0,Credit reporting,2017
,,,,62.0,Credit reporting,2017
,,,,62.0,Debt collection,2013
,,,,62.0,Debt collection,2013
,,,,62.0,Debt collection,2014
,,,,62.0,Debt collection,2014
,,,,62.0,Debt collection,2014
,,,,62.0,Debt collection,2014
,,,,62.0,Debt collection,2015
,,,,62.0,Debt collection,2015
,,,,62.0,Debt collection,2015
,,,,62.0,Debt collection,2015
,,,,62.0,Debt collection,2016
,,,,62.0,Debt collection,2016
,,,,62.0,Debt collection,2017
,,,,62.0,Debt collection,2018
,,,,62.0,Debt collection,2019
,,,,62.0,Debt collection,2019
,,,,62.0,Debt collection,2019
,,,,62.0,Mortgage,2012
,,,,62.0,Mortgage,2014
,,,,62.0,Mortgage,2018
,,,,62.0,Mortgage,2018
,,,,62.0,Mortgage,2018
,,,,62.0,Mortgage,2018
,,,,62.0,Mortgage,2018
,,,,62.0,Mortgage,2019
,,,,62.0,Mortgage,2019
,,,,62.0,Mortgage,2020
,,,,62.0,Mortgage,2020
,,,,62.0,Mortgage,2020
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2012
,,,,61.0,Bank account or service,2013
,,,,61.0,Bank account or service,2013
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2014
,,,,61.0,Bank account or service,2015
,,,,61.0,Bank account or service,2015
,,,,61.0,Bank account or service,2015
,,,,61.0,Bank account or service,2016
,,,,61.0,Bank account or service,2016
,,,,61.0,Bank account or service,2016
,,,,61.0,Bank account or service,2016
,,,,61.0,Bank account or service,2016
,,,,61.0,Bank account or service,2016
,,,,61.0,Bank account or service,2016
,,,,61.0,Bank account or service,2017
,,,,61.0,Bank account or service,2017
,,,,61.0,Bank account or service,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2017
,,,,61.0,Checking or savings account,2018
,,,,61.0,Checking or savings account,2018
,,,,61.0,Checking or savings account,2018
,,,,61.0,Checking or savings account,2018
,,,,61.0,Checking or savings account,2019
,,,,61.0,Checking or savings account,2019
,,,,61.0,Checking or savings account,2019
,,,,61.0,Credit card,2012
,,,,61.0,Credit card,2012
,,,,61.0,Credit card,2012
,,,,61.0,Credit card,2012
,,,,61.0,Credit card,2012
,,,,61.0,Credit card,2012
,,,,61.0,Credit card,2012
,,,,61.0,Credit card,2013
,,,,61.0,Credit card,2013
,,,,61.0,Credit card,2013
,,,,61.0,Credit card,2014
,,,,61.0,Credit card,2014
,,,,61.0,Credit card,2014
,,,,61.0,Credit card,2014
,,,,61.0,Credit card,2014
,,,,61.0,Credit card,2015
,,,,61.0,Credit card,2015
,,,,61.0,Credit card,2015
,,,,61.0,Credit card,2015
,,,,61.0,Credit card,2015
,,,,61.0,Credit card,2015
,,,,61.0,Credit card,2016
,,,,61.0,Credit card,2016
,,,,61.0,Credit card,2016
,,,,61.0,Credit card,2016
,,,,61.0,Credit card,2016
,,,,61.0,Credit card or prepaid card,2017
,,,,61.0,Credit card or prepaid card,2017
,,,,61.0,Credit card or prepaid card,2018
,,,,61.0,Credit card or prepaid card,2018
,,,,61.0,Credit card or prepaid card,2019
,,,,61.0,Credit reporting,2013
,,,,61.0,Credit reporting,2013
,,,,61.0,Credit reporting,2013
,,,,61.0,Credit reporting,2013
,,,,61.0,Credit reporting,2014
,,,,61.0,Credit reporting,2014
,,,,61.0,Credit reporting,2015
,,,,61.0,Credit reporting,2015
,,,,61.0,Credit reporting,2016
,,,,61.0,Debt collection,2013
,,,,61.0,Debt collection,2017
,,,,61.0,Debt collection,2017
,,,,61.0,Debt collection,2017
,,,,61.0,Debt collection,2017
,,,,61.0,Debt collection,2018
,,,,61.0,Debt collection,2018
,,,,61.0,Debt collection,2019
,,,,61.0,Debt collection,2019
,,,,61.0,Mortgage,2011
,,,,61.0,Mortgage,2014
,,,,61.0,Mortgage,2018
,,,,61.0,Mortgage,2019
,,,,61.0,Student loan,2017
,,,,60.0,Bank account or service,2012
,,,,60.0,Bank account or service,2012
,,,,60.0,Bank account or service,2012
,,,,60.0,Bank account or service,2012
,,,,60.0,Bank account or service,2012
,,,,60.0,Bank account or service,2012
,,,,60.0,Bank account or service,2013
,,,,60.0,Bank account or service,2013
,,,,60.0,Bank account or service,2013
,,,,60.0,Bank account or service,2013
,,,,60.0,Bank account or service,2013
,,,,60.0,Bank account or service,2013
,,,,60.0,Bank account or service,2013
,,,,60.0,Bank account or service,2014
,,,,60.0,Bank account or service,2014
,,,,60.0,Bank account or service,2014
,,,,60.0,Bank account or service,2014
,,,,60.0,Bank account or service,2015
,,,,60.0,Bank account or service,2015
,,,,60.0,Bank account or service,2015
,,,,60.0,Bank account or service,2015
,,,,60.0,Bank account or service,2015
,,,,60.0,Bank account or service,2015
,,,,60.0,Bank account or service,2016
,,,,60.0,Bank account or service,2016
,,,,60.0,Bank account or service,2016
,,,,60.0,Bank account or service,2016
,,,,60.0,Bank account or service,2017
,,,,60.0,Bank account or service,2017
,,,,60.0,Checking or savings account,2017
,,,,60.0,Checking or savings account,2017
,,,,60.0,Checking or savings account,2017
,,,,60.0,Checking or savings account,2017
,,,,60.0,Checking or savings account,2017
,,,,60.0,Checking or savings account,2017
,,,,60.0,Checking or savings account,2017
,,,,60.0,Checking or savings account,2018
,,,,60.0,Checking or savings account,2018
,,,,60.0,Checking or savings account,2019
,,,,60.0,Checking or savings account,2019
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2012
,,,,60.0,Credit card,2013
,,,,60.0,Credit card,2013
,,,,60.0,Credit card,2013
,,,,60.0,Credit card,2014
,,,,60.0,Credit card,2014
,,,,60.0,Credit card,2014
,,,,60.0,Credit card,2015
,,,,60.0,Credit card,2015
,,,,60.0,Credit card,2015
,,,,60.0,Credit card,2015
,,,,60.0,Credit card,2015
,,,,60.0,Credit card,2015
,,,,60.0,Credit card,2015
,,,,60.0,Credit card,2016
,,,,60.0,Credit card,2016
,,,,60.0,Credit card,2016
,,,,60.0,Credit card,2016
,,,,60.0,Credit card,2016
,,,,60.0,Credit card,2016
,,,,60.0,Credit card or prepaid card,2017
,,,,60.0,Credit card or prepaid card,2017
,,,,60.0,Credit card or prepaid card,2018
,,,,60.0,Credit card or prepaid card,2018
,,,,60.0,Credit card or prepaid card,2018
,,,,60.0,Credit card or prepaid card,2018
,,,,60.0,Credit card or prepaid card,2018
,,,,60.0,Credit card or prepaid card,2019
,,,,60.0,Credit card or prepaid card,2020
,,,,60.0,Credit reporting,2013
,,,,60.0,Credit reporting,2013
,,,,60.0,Credit reporting,2013
,,,,60.0,Credit reporting,2013
,,,,60.0,Debt collection,2013
,,,,60.0,Debt collection,2014
,,,,60.0,Debt collection,2015
,,,,60.0,Debt collection,2015
,,,,60.0,Debt collection,2017
,,,,60.0,Debt collection,2017
,,,,60.0,Debt collection,2017
,,,,60.0,Debt collection,2017
,,,,60.0,Debt collection,2018
,,,,60.0,Debt collection,2018
,,,,60.0,Debt collection,2018
,,,,60.0,Debt collection,2018
,,,,60.0,Debt collection,2018
,,,,60.0,Debt collection,2018
,,,,60.0,Debt collection,2019
,,,,60.0,Debt collection,2019
,,,,60.0,Mortgage,2019
,,,,60.0,Mortgage,2019
,,,,60.0,Mortgage,2019
,,,,60.0,Mortgage,2019
,,,,60.0,Mortgage,2019
,,,,60.0,Prepaid card,2015
,,,,60.0,Student loan,2017
,,,,60.0,Student loan,2017
,,,,59.0,Bank account or service,2012
,,,,59.0,Bank account or service,2012
,,,,59.0,Bank account or service,2012
,,,,59.0,Bank account or service,2013
,,,,59.0,Bank account or service,2013
,,,,59.0,Bank account or service,2013
,,,,59.0,Bank account or service,2013
,,,,59.0,Bank account or service,2013
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2014
,,,,59.0,Bank account or service,2015
,,,,59.0,Bank account or service,2015
,,,,59.0,Bank account or service,2015
,,,,59.0,Bank account or service,2015
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2016
,,,,59.0,Bank account or service,2017
,,,,59.0,Bank account or service,2017
,,,,59.0,Checking or savings account,2017
,,,,59.0,Checking or savings account,2017
,,,,59.0,Checking or savings account,2017
,,,,59.0,Checking or savings account,2017
,,,,59.0,Checking or savings account,2018
,,,,59.0,Checking or savings account,2018
,,,,59.0,Checking or savings account,2018
,,,,59.0,Checking or savings account,2019
,,,,59.0,Checking or savings account,2019
,,,,59.0,Checking or savings account,2019
,,,,59.0,Checking or savings account,2019
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2012
,,,,59.0,Credit card,2013
,,,,59.0,Credit card,2014
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2015
,,,,59.0,Credit card,2016
,,,,59.0,Credit card,2016
,,,,59.0,Credit card,2016
,,,,59.0,Credit card,2017
,,,,59.0,Credit card,2017
,,,,59.0,Credit card or prepaid card,2017
,,,,59.0,Credit card or prepaid card,2018
,,,,59.0,Credit card or prepaid card,2018
,,,,59.0,Credit card or prepaid card,2019
,,,,59.0,Credit reporting,2013
,,,,59.0,Credit reporting,2013
,,,,59.0,Credit reporting,2013
,,,,59.0,Credit reporting,2014
,,,,59.0,Credit reporting,2015
,,,,59.0,Credit reporting,2015
,,,,59.0,Credit reporting,2016
,,,,59.0,Credit reporting,2016
,,,,59.0,Credit reporting,2016
,,,,59.0,Credit reporting,2016
,,,,59.0,Debt collection,2013
,,,,59.0,Debt collection,2014
,,,,59.0,Debt collection,2015
,,,,59.0,Debt collection,2015
,,,,59.0,Debt collection,2017
,,,,59.0,Debt collection,2018
,,,,59.0,Debt collection,2018
,,,,59.0,Debt collection,2018
,,,,59.0,Debt collection,2019
,,,,59.0,Debt collection,2019
,,,,59.0,Debt collection,2019
,,,,59.0,Debt collection,2020
,,,,59.0,Debt collection,2020
,,,,59.0,Mortgage,2013
,,,,59.0,Mortgage,2018
,,,,59.0,Mortgage,2019
,,,,59.0,Student loan,2017
,,,,58.0,Bank account or service,2012
,,,,58.0,Bank account or service,2012
,,,,58.0,Bank account or service,2012
,,,,58.0,Bank account or service,2013
,,,,58.0,Bank account or service,2013
,,,,58.0,Bank account or service,2013
,,,,58.0,Bank account or service,2013
,,,,58.0,Bank account or service,2013
,,,,58.0,Bank account or service,2013
,,,,58.0,Bank account or service,2013
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2014
,,,,58.0,Bank account or service,2015
,,,,58.0,Bank account or service,2015
,,,,58.0,Bank account or service,2015
,,,,58.0,Bank account or service,2015
,,,,58.0,Bank account or service,2016
,,,,58.0,Bank account or service,2016
,,,,58.0,Bank account or service,2016
